id;title_ar;title_en;duration
1;Borders Computer digital;facilitate;markets
2;calculate;Avon impactful Investment;Senior
3;Mobility;Cambridgeshire navigate;cross-platform FTP
4;synthesize magenta Squares;edge;matrix Ergonomic Security
5;navigate Fresh;PCI invoice;Minnesota Credit
6;encryption intermediate;Central deliverables;holistic Polarised
7;plug-and-play Crest;infrastructure Berkshire Indiana;synergies
8;SQL Technician;streamline;Small invoice
9;Shoes capability Practical;Metal Internal Concrete;Granite Progressive
10;Officer Unbranded protocol;Chicken wireless;Alaska Shirt
